JD,YEAR,MONTH,DAY,OBS,SEE,g,s,W
2458120," 2018",01,1,WILW,F,0,0,0
2458120," 2018",01,1,ASA,G,0,0,0
2458120," 2018",01,1,JDAC,G,0,0,0
2458120," 2018",01,1,HOWR,E,0,0,0
2458121," 2018",01,2,CVJ,G,0,0,0
2458120," 2018",01,1,BERJ,P,0,0,0
2458121," 2018",01,2,BERJ,F,0,0,0
2458121," 2018",01,2,WILW,P,0,0,0
2458121," 2018",01,2,HOWR,E,0,0,0
2458121," 2018",01,2,ASA,G,0,0,0
2458121," 2018",01,2,JDAC,G,0,0,0
2458121," 2018",01,2,CNT,E,0,0,0
2458120," 2018",01,1,MMAV,E,0,0,0
2458121," 2018",01,2,MMAV,E,0,0,0
2458122," 2018",01,3,BERJ,F,0,0,0
2458122," 2018",01,3,WILW,P,0,0,0
2458122," 2018",01,3,HOWR,G,0,0,0
2458122," 2018",01,3,ASA,G,0,0,0
2458122," 2018",01,3,JDAC,G,0,0,0
2458122," 2018",01,3,ERB,G,0,0,0
2458120," 2018",01,1,ERB,P,0,0,0
2458122," 2018",01,3,MMAV,E,0,0,0
2458123," 2018",01,4,CVJ,F,1,2,12
2458123," 2018",01,4,FERJ,F,1,4,14
2458123," 2018",01,4,BERJ,F,0,0,0
2458123," 2018",01,4,LRRA,E,1,4,14
2458123," 2018",01,4,WILW,P,1,7,17
2458123," 2018",01,4,HOWR,E,0,0,0
2458123," 2018",01,4,JDAC,P,0,0,0
2458124," 2018",01,5,BERJ,P,0,0,0
2458124," 2018",01,5,LRRA,F,1,1,11
2458124," 2018",01,5,WILW,F,1,2,12
2458124," 2018",01,5,ASA,G,1,1,11
2458124," 2018",01,5,HOWR,E,0,0,0
2458125," 2018",01,6,LRRA,E,1,1,11
2458125," 2018",01,6,WILW,F,0,0,0
2458125," 2018",01,6,ASA,F,1,1,11
2458122," 2018",01,3,FLET,G,0,0,0
2458123," 2018",01,4,FLET,G,1,6,16
2458124," 2018",01,5,FLET,G,1,1,11
2458125," 2018",01,6,FLET,G,1,1,11
2458123," 2018",01,4,MMAV,E,1,2,12
2458124," 2018",01,5,MMAV,E,1,1,11
2458125," 2018",01,6,MMAV,E,1,1,11
2458126," 2018",01,7,LRRA,E,0,0,0
2458126," 2018",01,7,HOWR,E,0,0,0
2458126," 2018",01,7,ASA,G,1,1,11
2458126," 2018",01,7,MMAV,E,0,0,0
2458127," 2018",01,8,CVJ,E,1,2,12
2458120," 2018",01,1,ARAG,G,0,0,0
2458127," 2018",01,8,ASA,G,1,1,11
2458128," 2018",01,9,ASA,G,2,3,23
2458128," 2018",01,9,HOWR,G,0,0,0
2458128," 2018",01,9,JDAC,F,0,0,0
2458125," 2018",01,6,BERJ,P,1,2,12
2458129," 2018",01,10,BERJ,P,1,1,11
2458129," 2018",01,10,ASA,G,1,1,11
2458129," 2018",01,10,CNT,F,0,0,0
2458129," 2018",01,10,JDAC,F,0,0,0
2458120," 2018",01,1,KAPJ,G,0,0,0
2458121," 2018",01,2,KAPJ,G,0,0,0
2458122," 2018",01,3,KAPJ,G,0,0,0
2458123," 2018",01,4,KAPJ,F,1,3,13
2458124," 2018",01,5,KAPJ,F,0,0,0
2458125," 2018",01,6,KAPJ,G,1,1,11
2458126," 2018",01,7,KAPJ,F,0,0,0
2458127," 2018",01,8,KAPJ,F,0,0,0
2458128," 2018",01,9,KAPJ,P,0,0,0
2458129," 2018",01,10,KAPJ,F,0,0,0
2458130," 2018",01,11,BERJ,F,1,1,11
2458130," 2018",01,11,LRRA,P,0,0,0
2458127," 2018",01,8,FLET,G,1,4,14
2458128," 2018",01,9,FLET,G,1,5,15
2458129," 2018",01,10,FLET,F,0,0,0
2458130," 2018",01,11,FLET,G,1,2,12
2458130," 2018",01,11,ASA,G,1,2,12
2458130," 2018",01,11,HOWR,E,0,0,0
2458130," 2018",01,11,CNT,E,0,0,0
2458131," 2018",01,12,BERJ,F,0,0,0
2458131," 2018",01,12,ASA,G,0,0,0
2458131," 2018",01,12,BRAF,F,0,0,0
2458132," 2018",01,13,LRRA,E,0,0,0
2458132," 2018",01,13,ASA,F,0,0,0
2458132," 2018",01,13,CNT,E,0,0,0
2458131," 2018",01,12,CNT,E,0,0,0
2458133," 2018",01,14,LRRA,G,0,0,0
2458133," 2018",01,14,DROB,G,0,0,0
2458133," 2018",01,14,ASA,G,0,0,0
2458120," 2018",01,1,DROB,G,0,0,0
2458133," 2018",01,14,HOWR,E,0,0,0
2458132," 2018",01,13,BRAF,F,0,0,0
2458133," 2018",01,14,BRAF,G,1,3,13
2458133," 2018",01,14,CNT,E,0,0,0
2458133," 2018",01,14,ERB,G,0,0,0
2458134," 2018",01,15,BERJ,F,0,0,0
2458134," 2018",01,15,LRRA,G,0,0,0
