Obs        k       Scalename
JAMD       0.451   1    David W. James
MARJ       0.571   1    Javier Jarboles Maranon
CARJ       0.587   1    James Carlson
SZUM       0.588   1    Myachaslav Szulc
CAMP       0.61    1    Paul Campbell
BRAR       0.632   1    Robert Branch
GIOR       0.639   1    Richard Giovanoni
GOEM       0.639   1    Martin Goetz
BOJP       0.671   1    Piotr Bojda
JENJ       0.682   1    Jamey Jenkins
BATR       0.683   1    Roberto Battaiola
SZAK       0.705   1    Krzysztof Szatkowski
LERM       0.71    1    Michel Lerman
LARJ       0.728   1    Jose Larriba
COMT       0.737   1    Thomas Compton
YESH       0.765   1    Hulya Yesilyaprak
FEEC       0.777   1    Carl Feehrer
BOSB       0.779   1    Biswajit Bose
TJV        0.796   1    Javier Temprano
JEFT       0.808   1    Thomas Jeffrey
SCHG       0.868   1    Gregg Scholl
DEJV       0.887   1    Jacques van Delft
DRAJ       0.914   1    Jean Dragesco
RITA       0.936   1    Arthur Ritchie
STEM       0.94    1    Gerhard Stemmler
THR        0.947   1    Raymond Thompson
KHAR       0.951   1    Rana Khan
BLAJ       0.97    1    John A. Blackwell
CR         0.978   1    Thomas Cragg
BRAD       1.082   1    David Branchett
STEF       1.216   1    George Stefanopoulis
ANGR       0       0    Raymund Ang
ARE        0       0    Richard Allessi
BEDJ       0       0    James Bedient
BRAM       0       0    Mark Bradbury
BVC        0       0    Alan Buck
BVK        0       0    Kenneth Bankston
BYG        0       0    Yuriy Brovarets
DFS        0       0    Sjoerd Dufoer
DOGA       0       0    Ozkan Dogan
FIST       0       0    Seda Fitikci
GFT        0       0    Franck Gobet
HILA       0       0    Anna Hillier
JENS       0       0    Simon Jenner
JJK        0       0    Jerry Klotz
KQR        0       0    Richard Kinne
KUZM       0       0    Mikhail Kuzmin
LINH       0       0    H.G. Lindberg
MAV        0       0    Dimitri Matsnev
MCHL       0       0    Larry McHenry
MENM       0       0    Miguel Menegotto
MEU        0       0    Euan Mason
OJMA       0       0    Juha Ojanpera
OYE        0       0    Yenal Ogmen
PEKT       0       0    Riza Pektas
RIDC       0       0    Charles Ridgway
RO         0       0    John Rousom
SDP        0       0    Dolores Sharples
TAKH       0       0    H.Takuma
WILD       0       0    Daniel Williams
WIRP       0       0    Piotr Wirkus
WRP        0       0    Russell Wheeler
DANB       0       0    Anderson Dantas
WKM        0       0    Michael Wiskirken
DEFA       0       0    Everaldo Faustino dos Santos
CADA       0       0    Adair Cardoso
STVA       0       0    Togo Vaz Sepetiba
AMG        0       0    Margarete J. Amorim
SSSA       0       0    Sueli Sousa Sepetiba
SMNA       0       0    Michael Stephanou
SIAK       0       0    Iakovos Marios Strikis
DEKP       0       0    Pieter-Jan Dekelver
ATON       0       0    Antonio Attanasio
CLZ        1.182   1    Laurent Corp
DELS       0.944   1    Susan Delaney
MJOC       0       0    Joseph Michail
STQ        0.881   1    Nick Stoikidis
CFO        0       0    Jean F. Coliac
WAU        0       0    Artur Wargin
CPAB       0       0    Paul Coliac
CAJA       0       0    Ashley Cooper
ANDE       0       0    Eric J Anderson
BEGM       0       0    Michael J. R. Begbie
BEU        0       0    Edward Blankenship
BURS       0       0    Scott Burgess
BWJ        0       0    John Bohdanowicz
BXA        0       0    Alexander Baransky
DPP        0       0    Pierre de Ponthiere
ATAT       0       0    Tamer Atac
CORA       0       0    Angel Coroas
GARE       0       0    Eduardo Garcia
GOLA       0       0    Alexander Golovin
GUNM       0       0    Marcelo Mojica Gundlach
HSF        0       0    Casper Hossfield
HUZR       0       0    Richard Huziak
IMPR       0       0    Ruth Imperi
JENV       0       0    Vernon Jennings
LIZT       0       0    Tom Lizak
LUBT       0       0    Thomas Lubbers
LWT        0       0    Todd Lohvinenko
OTEG       0       0    Gabriel Otero Gaynicotch
PARN       0       0    Norman Parker
PENG       0       0    Gerry Pennington
RADS       0       0    Selby Radabah
RAMJ       0       0    Jim Ramsey
RANT       0       0    Thomas Randall
REYD       0       0    Darryl Reynolds
ERB        0       0    Bob Eramia
ELR        0       0    Ed L. Reed
ERRA       0       0    Adriana Errico
COLB       0       0    Bill Collins
COLJ       0       0    John Collins
GALM       0       0    Mauro Gallo
GOTS       0       0    Steve Gottschalk
